Date,y,Exchange Rate,Oil,dust
2017-11-01,1093217,1121.2,60.98,40
2017-12-01,1134068,1085.1,64.57,44
2018-01-01,956036,1071.4,66.65,45
2018-02-01,1045415,1071,68.6,45
2018-03-01,1366100,1081.9,64.23,35
2018-04-01,1331709,1064.4,69.02,43
2018-05-01,1238021,1067.5,74.85,38
2018-06-01,1282093,1076.4,74.54,34
2018-07-01,1254833,1117.2,76.71,25
2018-08-01,1391727,1117.9,72.28,23
2018-09-01,1278604,1113.3,77.81,18
2018-10-01,1527832,1110.2,84.94,26
2018-11-01,1350390,1139.2,71.25,49
2018-12-01,1324119,1120.3,60.17,42
2019-01-01,1104803,1118.1,54.06,60
2019-02-01,1201802,1111.6,61.86,53
2019-03-01,1535641,1119.9,63.71,63
2019-04-01,1635066,1136.1,69.08,35
2019-05-01,1485684,1163.8,72.01,44
2019-06-01,1476218,1191.2,63.16,23
2019-07-01,1448067,1156.4,65.1,26
2019-08-01,1586299,1181.9,62.9,24
2019-09-01,1459664,1209.6,58.55,20
2019-10-01,1656195,1199.2,60.06,26
2019-11-01,1456429,1161.7,60.17,36
2019-12-01,1456888,1180.3,63.2,41
